ID_3,Longitude,Latitude
92463,-17.46082,14.72202
92464,-17.36403,14.76543
92465,-17.20933,14.75613
92466,-16.50424,14.93438
92467,-16.47947,14.80587
92468,-16.44558,14.67528
92469,-16.23905,14.87030
92470,-16.17883,14.65339
92471,-15.92382,14.64737
92472,-15.92272,14.86111
92473,-16.26001,14.40957
92474,-16.60340,14.17079
92475,-16.39387,14.49971
92476,-16.51704,14.38042
92477,-16.34648,14.00537
92478,-16.61601,13.92322
92479,-16.37758,13.71926
92480,-15.64262,14.64161
92481,-15.93188,14.24040
92482,-16.04640,14.42062
92483,-15.68151,14.10567
92484,-14.84599,14.18439
92485,-15.33223,14.34035
92486,-15.33947,13.89924
92487,-16.20403,14.23143
92488,-16.12442,13.99846
92489,-15.89187,13.99302
92490,-15.56396,13.68910
92491,-15.82128,13.75905
92492,-16.04999,13.71821
92493,-14.48986,12.85186
92494,-15.01110,12.85238
92495,-14.86797,13.20948
92496,-15.60054,13.13053
92497,-15.72656,12.51968
92498,-15.52559,12.80755
92499,-15.88071,12.80432
92500,-15.36151,12.71345
92501,-13.72787,13.04827
92502,-14.09646,13.06214
92503,-13.97009,12.75772
92504,-16.00562,15.14932
92505,-16.54742,15.43540
92506,-16.22880,15.34388
92507,-14.87730,14.95192
92508,-15.59830,15.17360
92509,-14.76636,15.56339
92510,-15.27014,15.72131
92511,-15.83648,15.83873
92512,-15.95572,15.49238
92513,-16.19024,15.58527
92514,-16.30682,15.77487
92515,-13.24833,14.97649
92516,-13.86724,15.16986
92517,-12.82977,14.93726
92518,-13.74687,15.88462
92519,-15.57274,16.24933
92520,-16.37892,15.95960
92521,-16.08663,16.28424
92522,-14.31249,16.17466
92523,-14.70543,16.32840
92524,-14.11706,15.91165
92525,-15.16805,16.31328
92526,-12.81146,13.75442
92527,-12.44595,14.79060
92528,-13.06521,14.29545
92529,-12.19853,13.98354
92530,-12.55436,12.81810
92531,-11.83308,12.53098
92532,-12.80427,12.60007
92533,-11.87088,13.03161
92534,-14.30471,14.18129
92535,-13.79715,14.03536
92536,-14.23905,13.66131
92537,-13.22982,13.24583
92538,-16.67904,14.56248
92539,-16.99632,14.51779
92540,-16.77795,14.35077
92541,-16.87627,14.65976
92542,-17.01914,14.79550
92543,-16.70494,14.77761
92544,-16.80127,15.15659
92545,-16.53043,15.08423
92546,-16.34606,15.14717
92547,-16.89259,14.93249
92548,-16.59136,12.93720
92549,-16.14501,13.02976
92550,-16.45208,12.75109
92551,-16.17522,12.74848
92552,-16.64446,12.42278
92553,-16.57006,12.50737
92554,-16.11607,12.53805
92555,-16.38828,12.48204
