ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,NUMPOINTS
57,CIV,Côte d'Ivoire,1,Agnéby,Région,Region,,Agnébi,6
57,CIV,Côte d'Ivoire,10,Marahoué,Région,Region,,,8
57,CIV,Côte d'Ivoire,11,Moyen-Cavally,Région,Region,,,9
57,CIV,Côte d'Ivoire,12,Moyen-Comoé,Région,Region,,Comoé central,32
57,CIV,Côte d'Ivoire,13,N'zi-Comoé,Région,Region,,,14
57,CIV,Côte d'Ivoire,14,Savanes,Région,Region,,,28
57,CIV,Côte d'Ivoire,15,Sud-Bandama,Région,Region,,,4
57,CIV,Côte d'Ivoire,16,Sud-Comoé,Région,Region,,,3
57,CIV,Côte d'Ivoire,17,Vallée du Bandama,Région,Region,,,33
57,CIV,Côte d'Ivoire,18,Worodougou,Région,Region,,,14
57,CIV,Côte d'Ivoire,19,Zanzan,Région,Region,,,28
57,CIV,Côte d'Ivoire,2,Bafing,Région,Region,,,7
57,CIV,Côte d'Ivoire,3,Bas-Sassandra,Région,Region,,Cavally inférieur,33
57,CIV,Côte d'Ivoire,4,Denguélé,Région,Region,,,8
57,CIV,Côte d'Ivoire,5,Dix-Huit Montagnes,Région,Region,,,20
57,CIV,Côte d'Ivoire,6,Fromager,Région,Region,,,8
57,CIV,Côte d'Ivoire,7,Haut-Sassandra,Région,Region,,Sassandra supérieur,15
57,CIV,Côte d'Ivoire,8,Lacs,Région,Region,,,12
57,CIV,Côte d'Ivoire,9,Lagunes,Région,Region,,,57
