Admin_1_Region,Lab_Row_Count,Lab_SW_Count,Rapid_Row_Count,Rapid_SW_Count
1,0.0,0.0,0.0,0.0
4,4.0,9.435716,7.0,16.398771999999997
6,1.0,0.795558,12.0,13.9393
8,1.0,1.498547,5.0,7.492735000000001
9,6.0,2.9302200000000003,9.0,4.39533
12,2.0,0.28036,11.0,1.54198
13,2.0,0.668532,8.0,2.674128
15,14.0,4.522067000000001,37.0,11.805766999999989
16,1.0,0.749674,11.0,6.955429999999999
17,15.0,7.863555,54.0,28.384466999999987
19,4.0,11.733184999999999,19.0,46.95829799999999
20,13.0,14.44743,25.0,23.527169999999987
21,5.0,2.798521,5.0,1.083995
22,5.0,6.1993279999999995,17.0,17.097814
23,3.0,2.3218240000000003,20.0,16.862573
24,5.0,3.178327,16.0,10.480466
25,12.0,14.027764,21.0,23.148116
27,0.0,0.0,5.0,2.027355
30,0.0,0.0,8.0,3.479408
31,3.0,2.072076,0.0,0.0
32,3.0,0.914935,13.0,3.8430329999999993
34,3.0,1.34583,17.0,7.626370000000003
37,0.0,0.0,0.0,0.0
38,9.0,7.368452999999999,17.0,13.781012999999996
39,0.0,0.0,13.0,14.302754999999998
42,0.0,0.0,11.0,14.654969999999999
43,12.0,10.618146,33.0,30.881484
44,12.0,8.594651,30.0,29.91089
45,10.0,17.411170000000002,12.0,14.860603999999993
46,2.0,2.483876,14.0,17.387131999999998
47,5.0,9.1126,15.0,27.33780000000001
48,11.0,28.251255000000004,14.0,31.092549000000005
49,2.0,2.43905,4.0,4.8781
50,10.0,15.574844999999998,26.0,37.462918
51,1.0,0.881822,2.0,1.763644
52,2.0,3.630224,10.0,18.151119999999995
53,10.0,15.616400000000002,14.0,22.804525000000005
55,6.0,26.875626,10.0,44.79270999999999
56,13.0,18.298061,23.0,36.241305000000004
58,6.0,6.080796,8.0,8.107728
59,11.0,13.384246999999998,3.0,3.0261430000000002
60,7.0,17.353508,1.0,2.51959
61,15.0,19.447482000000008,14.0,13.008768
63,4.0,2.065696,8.0,4.3920189999999995
64,2.0,1.71295,5.0,4.282375
66,13.0,14.779011999999998,20.0,22.655364
67,7.0,4.281464,31.0,19.38540400000001
68,19.0,29.675892000000005,53.0,84.24441699999998
69,2.0,4.588822,5.0,8.313298
70,2.0,3.634352,3.0,5.451528
71,1.0,1.485379,5.0,8.10796
72,1.0,1.149852,5.0,5.7492600000000005
73,0.0,0.0,0.0,0.0
74,0.0,0.0,0.0,0.0
75,1.0,1.327649,4.0,5.310596
76,0.0,0.0,5.0,18.92631
78,4.0,5.468156,12.0,16.404467999999998
79,5.0,8.928305,10.0,17.85661
81,5.0,9.276675,17.0,34.609328999999995
82,2.0,1.05335,8.0,6.967186
83,10.0,14.546449000000003,26.0,40.07713800000001
85,3.0,7.0048140000000005,15.0,19.56151300000001
86,22.0,58.97121999999998,42.0,96.57838099999998
87,9.0,9.017946,12.0,12.008199000000001
88,5.0,3.93131,8.0,5.930369
89,0.0,0.0,5.0,10.41523
90,5.0,4.08105,16.0,13.05936
91,33.0,6.4638610000000005,108.0,28.204757000000008
92,12.0,2.1017080000000004,29.0,4.625890999999998
93,12.0,1.666644,32.0,4.801047000000001
94,15.0,5.8188130000000005,53.0,21.047467000000008
95,0.0,0.0,13.0,22.158123000000007
96,2.0,4.233664,8.0,11.329860000000002
98,0.0,0.0,3.0,1.633842
99,0.0,0.0,4.0,3.732128
100,5.0,6.078355,7.0,8.509697000000001
101,13.0,10.234211,16.0,12.595952000000002
102,0.0,0.0,0.0,0.0
103,0.0,0.0,1.0,0.985412
104,2.0,2.032662,7.0,7.114317000000001
105,19.0,15.648298000000004,23.0,18.752646000000006
106,0.0,0.0,9.0,7.676109
107,2.0,1.638612,6.0,4.915836
110,5.0,3.07164,6.0,3.685968
111,1.0,0.501765,9.0,4.515884999999999
112,2.0,0.553886,11.0,3.0463730000000004
113,1.0,0.91482,12.0,11.129322
114,8.0,10.541632,15.0,19.765559999999994
116,0.0,0.0,7.0,5.6447790000000015
117,0.0,0.0,2.0,2.015538
119,0.0,0.0,5.0,2.271745
120,0.0,0.0,4.0,2.692996
122,7.0,4.265463,20.0,10.677726
123,7.0,5.459552,7.0,5.459552
124,0.0,0.0,7.0,3.3207009999999997
125,1.0,1.171963,10.0,11.71963
126,3.0,2.765751,7.0,6.453418999999999
127,1.0,0.359581,6.0,2.157486
128,5.0,1.954415,18.0,7.035893999999998
130,2.0,0.825712,4.0,1.651424
131,1.0,2.202015,1.0,2.202015
132,9.0,31.254731999999997,15.0,52.091220000000014
133,8.0,8.749784,10.0,10.937230000000001
135,1.0,1.015627,6.0,6.093762000000001
138,1.0,1.714533,2.0,3.429066
139,1.0,1.817406,4.0,7.269624
140,0.0,0.0,1.0,2.312194
142,2.0,1.392416,6.0,4.201888
143,0.0,0.0,0.0,0.0
145,19.0,11.490941999999999,61.0,42.43549299999999
147,5.0,5.108245,10.0,10.21649
150,1.0,2.525384,11.0,27.779223999999992
151,12.0,6.667072,21.0,11.593816
153,1.0,0.410216,9.0,3.691944000000001
156,4.0,1.603882,13.0,5.258179000000001
157,0.0,0.0,8.0,6.191024
158,0.0,0.0,2.0,1.201446
159,4.0,1.940554,13.0,6.392288000000001
160,22.0,10.992650000000003,22.0,12.095638000000005
161,5.0,1.65906,7.0,2.3226839999999997
162,2.0,0.860644,23.0,9.897406000000004
164,0.0,0.0,19.0,8.758525000000002
165,2.0,1.737148,9.0,7.8171659999999985
166,14.0,4.728103,49.0,17.959196
169,3.0,0.521103,11.0,1.9107109999999996
171,3.0,1.410444,24.0,11.283552
172,7.0,1.6144280000000002,19.0,4.837265000000001
173,5.0,0.97472,16.0,3.119104
175,12.0,9.950087,66.0,36.07870999999999
176,11.0,5.220028,36.0,16.068397
177,10.0,8.713182000000002,29.0,24.28757499999999
178,0.0,0.0,1.0,0.193851
179,2.0,1.070296,1.0,0.535148
181,1.0,0.492862,11.0,5.421482
182,4.0,2.658278,6.0,3.9874169999999998
183,5.0,5.401095,11.0,7.4229389999999995
184,3.0,1.132935,16.0,5.514167999999998
185,7.0,5.070994,17.0,12.969721999999996
