Admin_Region_2,Lab_Row_Count,Lab_SW_Count,Lab_Pop_Count,Rapid_Row_Count,Rapid_SW_Count,Rapid_Pop_Count,Population
1,11.427923215869951,10.442102907991684,18.664916428798293,28.157102174894387,21.461866583650416,45.98822979854357,612267.5801664824
2,2.3788815274600186,3.4510420908802426,5.194507074984177,14.516310234878748,22.201980719710978,31.697701355583877,457960.9755305348
3,18.055502932793765,6.414633531372706,17.082187326942257,51.77966951455779,16.110663984660462,48.98838972623264,1056978.3943486195
4,16.403267747513304,10.034900446855529,20.67974411207281,64.15154260247479,38.54226017820108,80.87641473846155,793204.5802219136
5,5.9516525369266615,14.94105722600921,10.22305414198979,21.718687346136694,50.742946513749544,37.30582644986822,582179.4988330412
6,20.977268417827062,22.29304181865257,21.06517570747264,51.42015118103806,47.60226701446508,51.6356323406179,995826.8902730114
7,17.52076132512435,17.643011751939472,25.478332537718916,40.696170834781604,35.91429644848423,59.17953873691187,687672.998191152
8,13.09196435472257,6.521630482394474,4.885486925474221,50.68418776084536,21.1244775308569,18.913658021423608,2679766.5318594156
9,7.334844771865783,11.133748078984684,29.437609389092536,21.14021280761552,31.78066711322613,84.84396689891727,249165.7754852726
10,9.897706380018302,15.396460950001682,17.724499912347856,25.84125557379181,27.220061696221293,46.27570414467928,558419.5000685474
11,21.915390221110588,15.37149516394108,41.09901747569517,62.66339279000099,55.87726350870111,117.51576628928899,533233.9205936188
12,22.0016747913595,40.748578637585204,39.402748512162354,46.710653137779516,70.40176986083718,83.6540007013278,558379.1898316001
13,16.02064832522782,24.578596289366658,29.97193583175383,39.142925997552794,55.01714392018858,73.22982456448483,534521.6410164175
14,10.938528670182334,17.872026313471657,39.4666611063654,18.91754623638965,33.039855234715475,68.25528448911066,277158.7046774045
15,21.271822388447617,37.50225508845345,34.24620059476149,34.90810619058266,67.46184694438128,56.19969860387558,621144.0106935976
16,18.12205008906968,27.937666653680566,41.63726560093575,11.865751042858475,12.866088870801313,27.26277795822171,435236.31601452734
17,18.70923659838211,28.279164717176847,25.46225184611608,23.996605073279387,31.04785834099226,32.65807231709624,734783.2670673999
18,3.5817405930253328,2.55240312707618,10.8003690575447,8.335275382318123,6.674987002913246,25.134162563476856,331631.3149987476
19,19.558773040442595,18.896370685643394,28.074412711417878,52.68720929310763,44.913235206512404,75.62654647349409,696676.1243232714
20,24.190329531278575,38.783978125981314,23.9000117400821,72.57730578475986,120.02131866787165,71.70627659604303,1012147.1819492703
21,5.408492793179645,6.504977689991797,22.51050085174309,11.045817155938769,13.962839655238831,45.973413667207446,240265.3245612188
22,6.630133187430302,9.492512945747304,15.753189259623733,17.37105605043979,25.802217217237253,41.27361032820679,420875.6130686304
23,5.575629597721999,8.064656402959454,11.442627846272407,19.25044911938128,31.966201506677514,39.50687922968898,487268.280733113
24,9.254972774009552,11.812454671586535,47.16565806580923,21.817790700923894,28.168665694114075,111.18892308803098,196222.70002246732
25,5.202647754010277,13.300052259212876,13.36018446725588,20.39828780247489,28.332201196279932,52.38196025229153,389414.3652553082
26,19.58917287673841,53.784629332620895,54.861673220420926,33.757225226171634,84.05800110276952,94.54089107486256,357064.8091251948
27,25.074077321865133,23.164251595901938,18.903423725174374,61.19940585873137,64.68783520944321,46.138419604684536,1326430.475579568
28,47.428311473524836,8.322059694046409,78.71727206721165,144.56699448533632,32.2593930970207,239.9393755182227,602514.6734382364
29,12.006540915449191,4.441673508261712,53.91334649834703,41.76525325296093,16.006583539414166,187.53982400715927,222700.71689609007
30,3.004317032633564,5.590500234600764,4.615001711705867,27.085775453743608,39.512286734941576,41.60709363363445,650989.3647521667
31,11.568529715340267,10.413132618164099,25.752310731009448,20.087407303561495,17.585549170974122,44.71589453374619,449222.9779368929
32,3.579559696439591,3.071310265438836,6.134668339596299,9.143908505246277,8.097725627050806,15.670878757265703,583496.8572522943
33,22.133765277020267,18.41704329162662,36.0296975945458,32.352737662020814,27.063019982956064,52.664304501706006,614320.0402650866
34,6.429308460226003,4.482321343274794,6.819845881869981,17.108389090222538,12.822325577977114,18.147609125333847,942735.1543702488
35,9.884471156541062,9.69669798542246,5.047113381403059,43.50227494335623,37.39707309579478,22.21271229496112,1958440.4806442559
36,26.49120584020298,15.674411908327942,17.59799194479142,91.55011090545679,50.950207591578426,60.816337465997556,1505353.9019287785
37,2.1589222731390674,0.9064686826431706,7.830533614481705,5.510217427634067,2.4112283440999,19.98587134285963,275705.63890389027
38,15.394266466511654,36.13400510656092,17.43084777308916,28.194391837852145,62.62997399032015,31.924363089954454,883162.2343853116
39,3.980833625520428,7.150022573143711,12.664132658802643,13.289536888141502,19.34326721185337,42.27769205086353,314339.2234408893
40,3.9289020084807635,4.133145454355245,5.399715696620052,12.212699564464291,15.617932134190657,16.784614478548043,727612.7539344445
41,0.4704477445426667,0.31230210035443134,2.077249945412052,2.4548704639382004,1.6447706401067324,10.839417547142268,226476.2339176987
42,35.90503896291591,23.58302106462461,65.27482534548172,83.39107800181347,60.69820229542682,151.60373610962802,550059.5179363623
43,17.492193545791416,11.316144279980156,15.165760847787132,51.582811822252836,45.64489713321998,44.7223834966605,1153400.3286319617
44,5.507080913895986,2.4561915310613194,4.9752554800552335,27.239101287502923,16.596928068791865,24.608588482959796,1106894.095383188
45,15.086249688521796,8.790585068415812,67.36492524227393,18.41925675158643,12.073141191193342,82.24786674669232,223948.13969235474
46,21.51470727117282,8.959054215972055,16.269564156815296,103.27658525109398,46.627646559953284,78.09843789465988,1322389.8970987704
47,16.416008318356408,4.999702487575406,12.189509844256948,66.84353835462313,21.354304941658686,49.63386671091937,1346732.4386378638
48,19.233909558658326,13.778876161895969,16.54449762763806,82.60193823540732,45.722188533448715,71.05199112048496,1162556.2765065483
49,17.110462058071242,14.468837792905402,6.641059047404767,46.35243340150709,36.14333568184949,17.990703358305762,2576465.882314022
50,20.230294148971904,14.62099566841337,26.821788436537773,68.70740746913773,38.90535701102756,91.09385823012667,754248.516904016
